NO.,UNICODE,UTF8
1700,0x5885,utf8:E5-A2-85:墅
1701,0x5889,utf8:E5-A2-89:墉
1702,0x5892,utf8:E5-A2-92:墒
1703,0x5893,utf8:E5-A2-93:墓
1704,0x5899,utf8:E5-A2-99:墙
1705,0x589A,utf8:E5-A2-9A:墚
1706,0x589E,utf8:E5-A2-9E:增
1707,0x589F,utf8:E5-A2-9F:墟
1708,0x58A8,utf8:E5-A2-A8:墨
1709,0x58A9,utf8:E5-A2-A9:墩
1710,0x58BC,utf8:E5-A2-BC:墼
1711,0x58C1,utf8:E5-A3-81:壁
1712,0x58C5,utf8:E5-A3-85:壅
1713,0x58D1,utf8:E5-A3-91:壑
1714,0x58D5,utf8:E5-A3-95:壕
1715,0x58E4,utf8:E5-A3-A4:壤
1716,0x58EB,utf8:E5-A3-AB:士
1717,0x58EC,utf8:E5-A3-AC:壬
1718,0x58EE,utf8:E5-A3-AE:壮
1719,0x58F0,utf8:E5-A3-B0:声
1720,0x58F3,utf8:E5-A3-B3:壳
1721,0x58F6,utf8:E5-A3-B6:壶
1722,0x58F9,utf8:E5-A3-B9:壹
1723,0x5902,utf8:E5-A4-82:夂
1724,0x5904,utf8:E5-A4-84:处
1725,0x5907,utf8:E5-A4-87:备
1726,0x590D,utf8:E5-A4-8D:复
1727,0x590F,utf8:E5-A4-8F:夏
1728,0x5914,utf8:E5-A4-94:夔
1729,0x5915,utf8:E5-A4-95:夕
1730,0x5916,utf8:E5-A4-96:外
1731,0x5919,utf8:E5-A4-99:夙
1732,0x591A,utf8:E5-A4-9A:多
1733,0x591C,utf8:E5-A4-9C:夜
1734,0x591F,utf8:E5-A4-9F:够
1735,0x5924,utf8:E5-A4-A4:夤
1736,0x5925,utf8:E5-A4-A5:夥
1737,0x5927,utf8:E5-A4-A7:大
1738,0x5929,utf8:E5-A4-A9:天
1739,0x592A,utf8:E5-A4-AA:太
1740,0x592B,utf8:E5-A4-AB:夫
1741,0x592D,utf8:E5-A4-AD:夭
1742,0x592E,utf8:E5-A4-AE:央
1743,0x592F,utf8:E5-A4-AF:夯
1744,0x5931,utf8:E5-A4-B1:失
1745,0x5934,utf8:E5-A4-B4:头
1746,0x5937,utf8:E5-A4-B7:夷
1747,0x5938,utf8:E5-A4-B8:夸
1748,0x5939,utf8:E5-A4-B9:夹
1749,0x593A,utf8:E5-A4-BA:夺
1750,0x593C,utf8:E5-A4-BC:夼
1751,0x5941,utf8:E5-A5-81:奁
1752,0x5942,utf8:E5-A5-82:奂
1753,0x5944,utf8:E5-A5-84:奄
1754,0x5947,utf8:E5-A5-87:奇
1755,0x5948,utf8:E5-A5-88:奈
1756,0x5949,utf8:E5-A5-89:奉
1757,0x594B,utf8:E5-A5-8B:奋
1758,0x594E,utf8:E5-A5-8E:奎
1759,0x594F,utf8:E5-A5-8F:奏
1760,0x5951,utf8:E5-A5-91:契
1761,0x5954,utf8:E5-A5-94:奔
1762,0x5955,utf8:E5-A5-95:奕
1763,0x5956,utf8:E5-A5-96:奖
1764,0x5957,utf8:E5-A5-97:套
1765,0x5958,utf8:E5-A5-98:奘
1766,0x595A,utf8:E5-A5-9A:奚
1767,0x5960,utf8:E5-A5-A0:奠
1768,0x5962,utf8:E5-A5-A2:奢
1769,0x5965,utf8:E5-A5-A5:奥
1770,0x5973,utf8:E5-A5-B3:女
1771,0x5974,utf8:E5-A5-B4:奴
1772,0x5976,utf8:E5-A5-B6:奶
1773,0x5978,utf8:E5-A5-B8:奸
1774,0x5979,utf8:E5-A5-B9:她
1775,0x597D,utf8:E5-A5-BD:好
1776,0x5981,utf8:E5-A6-81:妁
1777,0x5982,utf8:E5-A6-82:如
1778,0x5983,utf8:E5-A6-83:妃
1779,0x5984,utf8:E5-A6-84:妄
1780,0x5986,utf8:E5-A6-86:妆
1781,0x5987,utf8:E5-A6-87:妇
1782,0x5988,utf8:E5-A6-88:妈
1783,0x598A,utf8:E5-A6-8A:妊
1784,0x598D,utf8:E5-A6-8D:妍
1785,0x5992,utf8:E5-A6-92:妒
1786,0x5993,utf8:E5-A6-93:妓
1787,0x5996,utf8:E5-A6-96:妖
1788,0x5997,utf8:E5-A6-97:妗
1789,0x5999,utf8:E5-A6-99:妙
1790,0x599E,utf8:E5-A6-9E:妞
1791,0x59A3,utf8:E5-A6-A3:妣
1792,0x59A4,utf8:E5-A6-A4:妤
1793,0x59A5,utf8:E5-A6-A5:妥
1794,0x59A8,utf8:E5-A6-A8:妨
1795,0x59A9,utf8:E5-A6-A9:妩
1796,0x59AA,utf8:E5-A6-AA:妪
1797,0x59AB,utf8:E5-A6-AB:妫
1798,0x59AE,utf8:E5-A6-AE:妮
1799,0x59AF,utf8:E5-A6-AF:妯
1800,0x59B2,utf8:E5-A6-B2:妲
1801,0x59B9,utf8:E5-A6-B9:妹
1802,0x59BB,utf8:E5-A6-BB:妻
1803,0x59BE,utf8:E5-A6-BE:妾
1804,0x59C6,utf8:E5-A7-86:姆
1805,0x59CA,utf8:E5-A7-8A:姊
1806,0x59CB,utf8:E5-A7-8B:始
1807,0x59D0,utf8:E5-A7-90:姐
1808,0x59D1,utf8:E5-A7-91:姑
1809,0x59D2,utf8:E5-A7-92:姒
1810,0x59D3,utf8:E5-A7-93:姓
1811,0x59D4,utf8:E5-A7-94:委
1812,0x59D7,utf8:E5-A7-97:姗
1813,0x59D8,utf8:E5-A7-98:姘
1814,0x59DA,utf8:E5-A7-9A:姚
1815,0x59DC,utf8:E5-A7-9C:姜
1816,0x59DD,utf8:E5-A7-9D:姝
1817,0x59E3,utf8:E5-A7-A3:姣
1818,0x59E5,utf8:E5-A7-A5:姥
1819,0x59E8,utf8:E5-A7-A8:姨
1820,0x59EC,utf8:E5-A7-AC:姬
1821,0x59F9,utf8:E5-A7-B9:姹
1822,0x59FB,utf8:E5-A7-BB:姻
1823,0x59FF,utf8:E5-A7-BF:姿
1824,0x5A01,utf8:E5-A8-81:威
1825,0x5A03,utf8:E5-A8-83:娃
1826,0x5A04,utf8:E5-A8-84:娄
1827,0x5A05,utf8:E5-A8-85:娅
1828,0x5A06,utf8:E5-A8-86:娆
1829,0x5A07,utf8:E5-A8-87:娇
1830,0x5A08,utf8:E5-A8-88:娈
1831,0x5A09,utf8:E5-A8-89:娉
1832,0x5A0C,utf8:E5-A8-8C:娌
1833,0x5A11,utf8:E5-A8-91:娑
1834,0x5A13,utf8:E5-A8-93:娓
1835,0x5A18,utf8:E5-A8-98:娘
1836,0x5A1C,utf8:E5-A8-9C:娜
1837,0x5A1F,utf8:E5-A8-9F:娟
1838,0x5A20,utf8:E5-A8-A0:娠
1839,0x5A23,utf8:E5-A8-A3:娣
1840,0x5A25,utf8:E5-A8-A5:娥
1841,0x5A29,utf8:E5-A8-A9:娩
1842,0x5A31,utf8:E5-A8-B1:娱
1843,0x5A32,utf8:E5-A8-B2:娲
1844,0x5A34,utf8:E5-A8-B4:娴
1845,0x5A36,utf8:E5-A8-B6:娶
1846,0x5A3C,utf8:E5-A8-BC:娼
1847,0x5A40,utf8:E5-A9-80:婀
1848,0x5A46,utf8:E5-A9-86:婆
1849,0x5A49,utf8:E5-A9-89:婉
1850,0x5A4A,utf8:E5-A9-8A:婊
1851,0x5A55,utf8:E5-A9-95:婕
1852,0x5A5A,utf8:E5-A9-9A:婚
1853,0x5A62,utf8:E5-A9-A2:婢
1854,0x5A67,utf8:E5-A9-A7:婧
1855,0x5A6A,utf8:E5-A9-AA:婪
1856,0x5A74,utf8:E5-A9-B4:婴
1857,0x5A75,utf8:E5-A9-B5:婵
1858,0x5A76,utf8:E5-A9-B6:婶
1859,0x5A77,utf8:E5-A9-B7:婷
1860,0x5A7A,utf8:E5-A9-BA:婺
1861,0x5A7F,utf8:E5-A9-BF:婿
1862,0x5A92,utf8:E5-AA-92:媒
1863,0x5A9A,utf8:E5-AA-9A:媚
1864,0x5A9B,utf8:E5-AA-9B:媛
1865,0x5AAA,utf8:E5-AA-AA:媪
1866,0x5AB2,utf8:E5-AA-B2:媲
1867,0x5AB3,utf8:E5-AA-B3:媳
1868,0x5AB5,utf8:E5-AA-B5:媵
1869,0x5AB8,utf8:E5-AA-B8:媸
1870,0x5ABE,utf8:E5-AA-BE:媾
1871,0x5AC1,utf8:E5-AB-81:嫁
1872,0x5AC2,utf8:E5-AB-82:嫂
1873,0x5AC9,utf8:E5-AB-89:嫉
1874,0x5ACC,utf8:E5-AB-8C:嫌
1875,0x5AD2,utf8:E5-AB-92:嫒
1876,0x5AD4,utf8:E5-AB-94:嫔
1877,0x5AD6,utf8:E5-AB-96:嫖
1878,0x5AD8,utf8:E5-AB-98:嫘
1879,0x5ADC,utf8:E5-AB-9C:嫜
1880,0x5AE0,utf8:E5-AB-A0:嫠
1881,0x5AE1,utf8:E5-AB-A1:嫡
1882,0x5AE3,utf8:E5-AB-A3:嫣
1883,0x5AE6,utf8:E5-AB-A6:嫦
1884,0x5AE9,utf8:E5-AB-A9:嫩
1885,0x5AEB,utf8:E5-AB-AB:嫫
1886,0x5AF1,utf8:E5-AB-B1:嫱
1887,0x5B09,utf8:E5-AC-89:嬉
1888,0x5B16,utf8:E5-AC-96:嬖
1889,0x5B17,utf8:E5-AC-97:嬗
1890,0x5B32,utf8:E5-AC-B2:嬲
1891,0x5B34,utf8:E5-AC-B4:嬴
1892,0x5B37,utf8:E5-AC-B7:嬷
1893,0x5B40,utf8:E5-AD-80:孀
1894,0x5B50,utf8:E5-AD-90:子
1895,0x5B51,utf8:E5-AD-91:孑
1896,0x5B53,utf8:E5-AD-93:孓
1897,0x5B54,utf8:E5-AD-94:孔
1898,0x5B55,utf8:E5-AD-95:孕
1899,0x5B57,utf8:E5-AD-97:字
1900,0x5B58,utf8:E5-AD-98:存
1901,0x5B59,utf8:E5-AD-99:孙
1902,0x5B5A,utf8:E5-AD-9A:孚
1903,0x5B5B,utf8:E5-AD-9B:孛
1904,0x5B5C,utf8:E5-AD-9C:孜
1905,0x5B5D,utf8:E5-AD-9D:孝
1906,0x5B5F,utf8:E5-AD-9F:孟
1907,0x5B62,utf8:E5-AD-A2:孢
1908,0x5B63,utf8:E5-AD-A3:季
1909,0x5B64,utf8:E5-AD-A4:孤
1910,0x5B65,utf8:E5-AD-A5:孥
1911,0x5B66,utf8:E5-AD-A6:学
1912,0x5B69,utf8:E5-AD-A9:孩
1913,0x5B6A,utf8:E5-AD-AA:孪
1914,0x5B6C,utf8:E5-AD-AC:孬
1915,0x5B70,utf8:E5-AD-B0:孰
1916,0x5B71,utf8:E5-AD-B1:孱
1917,0x5B73,utf8:E5-AD-B3:孳
1918,0x5B75,utf8:E5-AD-B5:孵
1919,0x5B7A,utf8:E5-AD-BA:孺
1920,0x5B7D,utf8:E5-AD-BD:孽
1921,0x5B80,utf8:E5-AE-80:宀
1922,0x5B81,utf8:E5-AE-81:宁
1923,0x5B83,utf8:E5-AE-83:它
1924,0x5B84,utf8:E5-AE-84:宄
1925,0x5B85,utf8:E5-AE-85:宅
1926,0x5B87,utf8:E5-AE-87:宇
1927,0x5B88,utf8:E5-AE-88:守
1928,0x5B89,utf8:E5-AE-89:安
1929,0x5B8B,utf8:E5-AE-8B:宋
1930,0x5B8C,utf8:E5-AE-8C:完
1931,0x5B8F,utf8:E5-AE-8F:宏
1932,0x5B93,utf8:E5-AE-93:宓
1933,0x5B95,utf8:E5-AE-95:宕
1934,0x5B97,utf8:E5-AE-97:宗
1935,0x5B98,utf8:E5-AE-98:官
1936,0x5B99,utf8:E5-AE-99:宙
1937,0x5B9A,utf8:E5-AE-9A:定
1938,0x5B9B,utf8:E5-AE-9B:宛
1939,0x5B9C,utf8:E5-AE-9C:宜
1940,0x5B9D,utf8:E5-AE-9D:宝
1941,0x5B9E,utf8:E5-AE-9E:实
1942,0x5BA0,utf8:E5-AE-A0:宠
1943,0x5BA1,utf8:E5-AE-A1:审
1944,0x5BA2,utf8:E5-AE-A2:客
1945,0x5BA3,utf8:E5-AE-A3:宣
1946,0x5BA4,utf8:E5-AE-A4:室
1947,0x5BA5,utf8:E5-AE-A5:宥
1948,0x5BA6,utf8:E5-AE-A6:宦
1949,0x5BAA,utf8:E5-AE-AA:宪
1950,0x5BAB,utf8:E5-AE-AB:宫
1951,0x5BB0,utf8:E5-AE-B0:宰
1952,0x5BB3,utf8:E5-AE-B3:害
1953,0x5BB4,utf8:E5-AE-B4:宴
1954,0x5BB5,utf8:E5-AE-B5:宵
1955,0x5BB6,utf8:E5-AE-B6:家
1956,0x5BB8,utf8:E5-AE-B8:宸
1957,0x5BB9,utf8:E5-AE-B9:容
1958,0x5BBD,utf8:E5-AE-BD:宽
1959,0x5BBE,utf8:E5-AE-BE:宾
1960,0x5BBF,utf8:E5-AE-BF:宿
1961,0x5BC2,utf8:E5-AF-82:寂
1962,0x5BC4,utf8:E5-AF-84:寄
1963,0x5BC5,utf8:E5-AF-85:寅
1964,0x5BC6,utf8:E5-AF-86:密
1965,0x5BC7,utf8:E5-AF-87:寇
1966,0x5BCC,utf8:E5-AF-8C:富
1967,0x5BD0,utf8:E5-AF-90:寐
1968,0x5BD2,utf8:E5-AF-92:寒
1969,0x5BD3,utf8:E5-AF-93:寓
1970,0x5BDD,utf8:E5-AF-9D:寝
1971,0x5BDE,utf8:E5-AF-9E:寞
1972,0x5BDF,utf8:E5-AF-9F:察
1973,0x5BE1,utf8:E5-AF-A1:寡
1974,0x5BE4,utf8:E5-AF-A4:寤
1975,0x5BE5,utf8:E5-AF-A5:寥
1976,0x5BE8,utf8:E5-AF-A8:寨
1977,0x5BEE,utf8:E5-AF-AE:寮
1978,0x5BF0,utf8:E5-AF-B0:寰
1979,0x5BF8,utf8:E5-AF-B8:寸
1980,0x5BF9,utf8:E5-AF-B9:对
1981,0x5BFA,utf8:E5-AF-BA:寺
1982,0x5BFB,utf8:E5-AF-BB:寻
1983,0x5BFC,utf8:E5-AF-BC:导
1984,0x5BFF,utf8:E5-AF-BF:寿
1985,0x5C01,utf8:E5-B0-81:封
1986,0x5C04,utf8:E5-B0-84:射
1987,0x5C06,utf8:E5-B0-86:将
1988,0x5C09,utf8:E5-B0-89:尉
1989,0x5C0A,utf8:E5-B0-8A:尊
1990,0x5C0F,utf8:E5-B0-8F:小
1991,0x5C11,utf8:E5-B0-91:少
1992,0x5C14,utf8:E5-B0-94:尔
1993,0x5C15,utf8:E5-B0-95:尕
1994,0x5C16,utf8:E5-B0-96:尖
1995,0x5C18,utf8:E5-B0-98:尘
1996,0x5C1A,utf8:E5-B0-9A:尚
1997,0x5C1C,utf8:E5-B0-9C:尜
1998,0x5C1D,utf8:E5-B0-9D:尝
1999,0x5C22,utf8:E5-B0-A2:尢
2000,0x5C24,utf8:E5-B0-A4:尤
2001,0x5C25,utf8:E5-B0-A5:尥
2002,0x5C27,utf8:E5-B0-A7:尧
2003,0x5C2C,utf8:E5-B0-AC:尬
2004,0x5C31,utf8:E5-B0-B1:就
2005,0x5C34,utf8:E5-B0-B4:尴
2006,0x5C38,utf8:E5-B0-B8:尸
2007,0x5C39,utf8:E5-B0-B9:尹
2008,0x5C3A,utf8:E5-B0-BA:尺
2009,0x5C3B,utf8:E5-B0-BB:尻
2010,0x5C3C,utf8:E5-B0-BC:尼
2011,0x5C3D,utf8:E5-B0-BD:尽
2012,0x5C3E,utf8:E5-B0-BE:尾
2013,0x5C3F,utf8:E5-B0-BF:尿
2014,0x5C40,utf8:E5-B1-80:局
2015,0x5C41,utf8:E5-B1-81:屁
2016,0x5C42,utf8:E5-B1-82:层
2017,0x5C45,utf8:E5-B1-85:居
2018,0x5C48,utf8:E5-B1-88:屈
2019,0x5C49,utf8:E5-B1-89:屉
2020,0x5C4A,utf8:E5-B1-8A:届
2021,0x5C4B,utf8:E5-B1-8B:屋
2022,0x5C4E,utf8:E5-B1-8E:屎
2023,0x5C4F,utf8:E5-B1-8F:屏
2024,0x5C50,utf8:E5-B1-90:屐
2025,0x5C51,utf8:E5-B1-91:屑
2026,0x5C55,utf8:E5-B1-95:展
2027,0x5C59,utf8:E5-B1-99:屙
2028,0x5C5E,utf8:E5-B1-9E:属
2029,0x5C60,utf8:E5-B1-A0:屠
2030,0x5C61,utf8:E5-B1-A1:屡
2031,0x5C63,utf8:E5-B1-A3:屣
2032,0x5C65,utf8:E5-B1-A5:履
2033,0x5C66,utf8:E5-B1-A6:屦
2034,0x5C6E,utf8:E5-B1-AE:屮
2035,0x5C6F,utf8:E5-B1-AF:屯
2036,0x5C71,utf8:E5-B1-B1:山
2037,0x5C79,utf8:E5-B1-B9:屹
2038,0x5C7A,utf8:E5-B1-BA:屺
2039,0x5C7F,utf8:E5-B1-BF:屿
2040,0x5C81,utf8:E5-B2-81:岁
2041,0x5C82,utf8:E5-B2-82:岂
2042,0x5C88,utf8:E5-B2-88:岈
2043,0x5C8C,utf8:E5-B2-8C:岌
2044,0x5C8D,utf8:E5-B2-8D:岍
2045,0x5C90,utf8:E5-B2-90:岐
2046,0x5C91,utf8:E5-B2-91:岑
2047,0x5C94,utf8:E5-B2-94:岔
2048,0x5C96,utf8:E5-B2-96:岖
2049,0x5C97,utf8:E5-B2-97:岗
2050,0x5C98,utf8:E5-B2-98:岘
2051,0x5C99,utf8:E5-B2-99:岙
2052,0x5C9A,utf8:E5-B2-9A:岚
2053,0x5C9B,utf8:E5-B2-9B:岛
2054,0x5C9C,utf8:E5-B2-9C:岜
2055,0x5CA2,utf8:E5-B2-A2:岢
2056,0x5CA3,utf8:E5-B2-A3:岣
2057,0x5CA9,utf8:E5-B2-A9:岩
2058,0x5CAB,utf8:E5-B2-AB:岫
2059,0x5CAC,utf8:E5-B2-AC:岬
2060,0x5CAD,utf8:E5-B2-AD:岭
2061,0x5CB1,utf8:E5-B2-B1:岱
2062,0x5CB3,utf8:E5-B2-B3:岳
2063,0x5CB5,utf8:E5-B2-B5:岵
2064,0x5CB7,utf8:E5-B2-B7:岷
2065,0x5CB8,utf8:E5-B2-B8:岸
2066,0x5CBD,utf8:E5-B2-BD:岽
2067,0x5CBF,utf8:E5-B2-BF:岿
2068,0x5CC1,utf8:E5-B3-81:峁
2069,0x5CC4,utf8:E5-B3-84:峄
2070,0x5CCB,utf8:E5-B3-8B:峋
2071,0x5CD2,utf8:E5-B3-92:峒
2072,0x5CD9,utf8:E5-B3-99:峙
2073,0x5CE1,utf8:E5-B3-A1:峡
2074,0x5CE4,utf8:E5-B3-A4:峤
2075,0x5CE5,utf8:E5-B3-A5:峥
2076,0x5CE6,utf8:E5-B3-A6:峦
2077,0x5CE8,utf8:E5-B3-A8:峨
2078,0x5CEA,utf8:E5-B3-AA:峪
2079,0x5CED,utf8:E5-B3-AD:峭
2080,0x5CF0,utf8:E5-B3-B0:峰
2081,0x5CFB,utf8:E5-B3-BB:峻
2082,0x5D02,utf8:E5-B4-82:崂
2083,0x5D03,utf8:E5-B4-83:崃
2084,0x5D06,utf8:E5-B4-86:崆
2085,0x5D07,utf8:E5-B4-87:崇
2086,0x5D0E,utf8:E5-B4-8E:崎
2087,0x5D14,utf8:E5-B4-94:崔
2088,0x5D16,utf8:E5-B4-96:崖
2089,0x5D1B,utf8:E5-B4-9B:崛
2090,0x5D1E,utf8:E5-B4-9E:崞
2091,0x5D24,utf8:E5-B4-A4:崤
2092,0x5D26,utf8:E5-B4-A6:崦
2093,0x5D27,utf8:E5-B4-A7:崧
2094,0x5D29,utf8:E5-B4-A9:崩
2095,0x5D2D,utf8:E5-B4-AD:崭
2096,0x5D2E,utf8:E5-B4-AE:崮
2097,0x5D34,utf8:E5-B4-B4:崴
2098,0x5D3D,utf8:E5-B4-BD:崽
2099,0x5D3E,utf8:E5-B4-BE:崾
2100,0x5D47,utf8:E5-B5-87:嵇
2101,0x5D4A,utf8:E5-B5-8A:嵊
2102,0x5D4B,utf8:E5-B5-8B:嵋
2103,0x5D4C,utf8:E5-B5-8C:嵌
2104,0x5D58,utf8:E5-B5-98:嵘
2105,0x5D5B,utf8:E5-B5-9B:嵛
2106,0x5D5D,utf8:E5-B5-9D:嵝
2107,0x5D69,utf8:E5-B5-A9:嵩
2108,0x5D6B,utf8:E5-B5-AB:嵫
2109,0x5D6C,utf8:E5-B5-AC:嵬
2110,0x5D6F,utf8:E5-B5-AF:嵯
2111,0x5D74,utf8:E5-B5-B4:嵴
2112,0x5D82,utf8:E5-B6-82:嶂
2113,0x5D99,utf8:E5-B6-99:嶙
2114,0x5D9D,utf8:E5-B6-9D:嶝
2115,0x5DB7,utf8:E5-B6-B7:嶷
2116,0x5DC5,utf8:E5-B7-85:巅
2117,0x5DCD,utf8:E5-B7-8D:巍
2118,0x5DDB,utf8:E5-B7-9B:巛
2119,0x5DDD,utf8:E5-B7-9D:川
2120,0x5DDE,utf8:E5-B7-9E:州
2121,0x5DE1,utf8:E5-B7-A1:巡
2122,0x5DE2,utf8:E5-B7-A2:巢
2123,0x5DE5,utf8:E5-B7-A5:工
2124,0x5DE6,utf8:E5-B7-A6:左
2125,0x5DE7,utf8:E5-B7-A7:巧
2126,0x5DE8,utf8:E5-B7-A8:巨
2127,0x5DE9,utf8:E5-B7-A9:巩
2128,0x5DEB,utf8:E5-B7-AB:巫
2129,0x5DEE,utf8:E5-B7-AE:差
2130,0x5DEF,utf8:E5-B7-AF:巯
2131,0x5DF1,utf8:E5-B7-B1:己
2132,0x5DF2,utf8:E5-B7-B2:已
2133,0x5DF3,utf8:E5-B7-B3:巳
2134,0x5DF4,utf8:E5-B7-B4:巴
2135,0x5DF7,utf8:E5-B7-B7:巷
2136,0x5DFD,utf8:E5-B7-BD:巽
2137,0x5DFE,utf8:E5-B7-BE:巾
2138,0x5E01,utf8:E5-B8-81:币
2139,0x5E02,utf8:E5-B8-82:市
2140,0x5E03,utf8:E5-B8-83:布
2141,0x5E05,utf8:E5-B8-85:帅
2142,0x5E06,utf8:E5-B8-86:帆
2143,0x5E08,utf8:E5-B8-88:师
2144,0x5E0C,utf8:E5-B8-8C:希
2145,0x5E0F,utf8:E5-B8-8F:帏
2146,0x5E10,utf8:E5-B8-90:帐
2147,0x5E11,utf8:E5-B8-91:帑
2148,0x5E14,utf8:E5-B8-94:帔
2149,0x5E15,utf8:E5-B8-95:帕
2150,0x5E16,utf8:E5-B8-96:帖
2151,0x5E18,utf8:E5-B8-98:帘
2152,0x5E19,utf8:E5-B8-99:帙
2153,0x5E1A,utf8:E5-B8-9A:帚
2154,0x5E1B,utf8:E5-B8-9B:帛
2155,0x5E1C,utf8:E5-B8-9C:帜
2156,0x5E1D,utf8:E5-B8-9D:帝
2157,0x5E26,utf8:E5-B8-A6:带
2158,0x5E27,utf8:E5-B8-A7:帧
2159,0x5E2D,utf8:E5-B8-AD:席
2160,0x5E2E,utf8:E5-B8-AE:帮
2161,0x5E31,utf8:E5-B8-B1:帱
2162,0x5E37,utf8:E5-B8-B7:帷
2163,0x5E38,utf8:E5-B8-B8:常
2164,0x5E3B,utf8:E5-B8-BB:帻
2165,0x5E3C,utf8:E5-B8-BC:帼
2166,0x5E3D,utf8:E5-B8-BD:帽
2167,0x5E42,utf8:E5-B9-82:幂
2168,0x5E44,utf8:E5-B9-84:幄
2169,0x5E45,utf8:E5-B9-85:幅
2170,0x5E4C,utf8:E5-B9-8C:幌
2171,0x5E54,utf8:E5-B9-94:幔
2172,0x5E55,utf8:E5-B9-95:幕
2173,0x5E5B,utf8:E5-B9-9B:幛
2174,0x5E5E,utf8:E5-B9-9E:幞
2175,0x5E61,utf8:E5-B9-A1:幡
2176,0x5E62,utf8:E5-B9-A2:幢
2177,0x5E72,utf8:E5-B9-B2:干
2178,0x5E73,utf8:E5-B9-B3:平
2179,0x5E74,utf8:E5-B9-B4:年
2180,0x5E76,utf8:E5-B9-B6:并
2181,0x5E78,utf8:E5-B9-B8:幸
2182,0x5E7A,utf8:E5-B9-BA:幺
2183,0x5E7B,utf8:E5-B9-BB:幻
2184,0x5E7C,utf8:E5-B9-BC:幼
2185,0x5E7D,utf8:E5-B9-BD:幽
2186,0x5E7F,utf8:E5-B9-BF:广
2187,0x5E80,utf8:E5-BA-80:庀
2188,0x5E84,utf8:E5-BA-84:庄
2189,0x5E86,utf8:E5-BA-86:庆
2190,0x5E87,utf8:E5-BA-87:庇
2191,0x5E8A,utf8:E5-BA-8A:床
2192,0x5E8B,utf8:E5-BA-8B:庋
2193,0x5E8F,utf8:E5-BA-8F:序
2194,0x5E90,utf8:E5-BA-90:庐
2195,0x5E91,utf8:E5-BA-91:庑
2196,0x5E93,utf8:E5-BA-93:库
2197,0x5E94,utf8:E5-BA-94:应
2198,0x5E95,utf8:E5-BA-95:底
2199,0x5E96,utf8:E5-BA-96:庖
2200,0x5E97,utf8:E5-BA-97:店
2201,0x5E99,utf8:E5-BA-99:庙
2202,0x5E9A,utf8:E5-BA-9A:庚
2203,0x5E9C,utf8:E5-BA-9C:府
2204,0x5E9E,utf8:E5-BA-9E:庞
2205,0x5E9F,utf8:E5-BA-9F:废
2206,0x5EA0,utf8:E5-BA-A0:庠
2207,0x5EA5,utf8:E5-BA-A5:庥
2208,0x5EA6,utf8:E5-BA-A6:度
2209,0x5EA7,utf8:E5-BA-A7:座
2210,0x5EAD,utf8:E5-BA-AD:庭
2211,0x5EB3,utf8:E5-BA-B3:庳
2212,0x5EB5,utf8:E5-BA-B5:庵
2213,0x5EB6,utf8:E5-BA-B6:庶
2214,0x5EB7,utf8:E5-BA-B7:康
2215,0x5EB8,utf8:E5-BA-B8:庸
2216,0x5EB9,utf8:E5-BA-B9:庹
2217,0x5EBE,utf8:E5-BA-BE:庾
2218,0x5EC9,utf8:E5-BB-89:廉
2219,0x5ECA,utf8:E5-BB-8A:廊
2220,0x5ED1,utf8:E5-BB-91:廑
2221,0x5ED2,utf8:E5-BB-92:廒
2222,0x5ED3,utf8:E5-BB-93:廓
2223,0x5ED6,utf8:E5-BB-96:廖
2224,0x5EDB,utf8:E5-BB-9B:廛
2225,0x5EE8,utf8:E5-BB-A8:廨
2226,0x5EEA,utf8:E5-BB-AA:廪
2227,0x5EF4,utf8:E5-BB-B4:廴
2228,0x5EF6,utf8:E5-BB-B6:延
2229,0x5EF7,utf8:E5-BB-B7:廷
2230,0x5EFA,utf8:E5-BB-BA:建
2231,0x5EFE,utf8:E5-BB-BE:廾
2232,0x5EFF,utf8:E5-BB-BF:廿
2233,0x5F00,utf8:E5-BC-80:开
2234,0x5F01,utf8:E5-BC-81:弁
2235,0x5F02,utf8:E5-BC-82:异
2236,0x5F03,utf8:E5-BC-83:弃
2237,0x5F04,utf8:E5-BC-84:弄
2238,0x5F08,utf8:E5-BC-88:弈
2239,0x5F0A,utf8:E5-BC-8A:弊
2240,0x5F0B,utf8:E5-BC-8B:弋
2241,0x5F0F,utf8:E5-BC-8F:式
2242,0x5F11,utf8:E5-BC-91:弑
2243,0x5F13,utf8:E5-BC-93:弓
2244,0x5F15,utf8:E5-BC-95:引
2245,0x5F17,utf8:E5-BC-97:弗
2246,0x5F18,utf8:E5-BC-98:弘
2247,0x5F1B,utf8:E5-BC-9B:弛
2248,0x5F1F,utf8:E5-BC-9F:弟
2249,0x5F20,utf8:E5-BC-A0:张
2250,0x5F25,utf8:E5-BC-A5:弥
2251,0x5F26,utf8:E5-BC-A6:弦
2252,0x5F27,utf8:E5-BC-A7:弧
2253,0x5F29,utf8:E5-BC-A9:弩
2254,0x5F2A,utf8:E5-BC-AA:弪
2255,0x5F2D,utf8:E5-BC-AD:弭
2256,0x5F2F,utf8:E5-BC-AF:弯
2257,0x5F31,utf8:E5-BC-B1:弱
2258,0x5F39,utf8:E5-BC-B9:弹
2259,0x5F3A,utf8:E5-BC-BA:强
2260,0x5F3C,utf8:E5-BC-BC:弼
2261,0x5F40,utf8:E5-BD-80:彀
