NO.,UNICODE,UTF8
0150,0x2016,utf8:E2-80-96:‖
0151,0x2018,utf8:E2-80-98:‘
0152,0x2019,utf8:E2-80-99:’
0153,0x201C,utf8:E2-80-9C:“
0154,0x201D,utf8:E2-80-9D:”
0155,0x2026,utf8:E2-80-A6:…
0156,0x2030,utf8:E2-80-B0:‰
0157,0x2032,utf8:E2-80-B2:′
0158,0x2033,utf8:E2-80-B3:″
0159,0x203B,utf8:E2-80-BB:※
0160,0x2103,utf8:E2-84-83:℃
0161,0x2116,utf8:E2-84-96:№
0162,0x2160,utf8:E2-85-A0:Ⅰ
0163,0x2161,utf8:E2-85-A1:Ⅱ
0164,0x2162,utf8:E2-85-A2:Ⅲ
0165,0x2163,utf8:E2-85-A3:Ⅳ
0166,0x2164,utf8:E2-85-A4:Ⅴ
0167,0x2165,utf8:E2-85-A5:Ⅵ
0168,0x2166,utf8:E2-85-A6:Ⅶ
0169,0x2167,utf8:E2-85-A7:Ⅷ
0170,0x2168,utf8:E2-85-A8:Ⅸ
0171,0x2169,utf8:E2-85-A9:Ⅹ
0172,0x216A,utf8:E2-85-AA:Ⅺ
0173,0x216B,utf8:E2-85-AB:Ⅻ
0174,0x2190,utf8:E2-86-90:←
0175,0x2191,utf8:E2-86-91:↑
0176,0x2192,utf8:E2-86-92:→
0177,0x2193,utf8:E2-86-93:↓
0178,0x2208,utf8:E2-88-88:∈
0179,0x220F,utf8:E2-88-8F:∏
0180,0x2211,utf8:E2-88-91:∑
0181,0x221A,utf8:E2-88-9A:√
0182,0x221D,utf8:E2-88-9D:∝
0183,0x221E,utf8:E2-88-9E:∞
0184,0x2220,utf8:E2-88-A0:∠
0185,0x2225,utf8:E2-88-A5:∥
0186,0x2227,utf8:E2-88-A7:∧
0187,0x2228,utf8:E2-88-A8:∨
0188,0x2229,utf8:E2-88-A9:∩
0189,0x222A,utf8:E2-88-AA:∪
0190,0x222B,utf8:E2-88-AB:∫
0191,0x222E,utf8:E2-88-AE:∮
0192,0x2234,utf8:E2-88-B4:∴
0193,0x2235,utf8:E2-88-B5:∵
0194,0x2236,utf8:E2-88-B6:∶
0195,0x2237,utf8:E2-88-B7:∷
0196,0x223D,utf8:E2-88-BD:∽
0197,0x2248,utf8:E2-89-88:≈
0198,0x224C,utf8:E2-89-8C:≌
0199,0x2260,utf8:E2-89-A0:≠
0200,0x2261,utf8:E2-89-A1:≡
0201,0x2264,utf8:E2-89-A4:≤
0202,0x2265,utf8:E2-89-A5:≥
0203,0x226E,utf8:E2-89-AE:≮
0204,0x226F,utf8:E2-89-AF:≯
0205,0x2299,utf8:E2-8A-99:⊙
0206,0x22A5,utf8:E2-8A-A5:⊥
0207,0x2312,utf8:E2-8C-92:⌒
0208,0x2460,utf8:E2-91-A0:①
0209,0x2461,utf8:E2-91-A1:②
0210,0x2462,utf8:E2-91-A2:③
0211,0x2463,utf8:E2-91-A3:④
0212,0x2464,utf8:E2-91-A4:⑤
0213,0x2465,utf8:E2-91-A5:⑥
0214,0x2466,utf8:E2-91-A6:⑦
0215,0x2467,utf8:E2-91-A7:⑧
0216,0x2468,utf8:E2-91-A8:⑨
0217,0x2469,utf8:E2-91-A9:⑩
0218,0x2474,utf8:E2-91-B4:⑴
0219,0x2475,utf8:E2-91-B5:⑵
0220,0x2476,utf8:E2-91-B6:⑶
0221,0x2477,utf8:E2-91-B7:⑷
0222,0x2478,utf8:E2-91-B8:⑸
0223,0x2479,utf8:E2-91-B9:⑹
0224,0x247A,utf8:E2-91-BA:⑺
0225,0x247B,utf8:E2-91-BB:⑻
0226,0x247C,utf8:E2-91-BC:⑼
0227,0x247D,utf8:E2-91-BD:⑽
0228,0x247E,utf8:E2-91-BE:⑾
0229,0x247F,utf8:E2-91-BF:⑿
0230,0x2480,utf8:E2-92-80:⒀
0231,0x2481,utf8:E2-92-81:⒁
0232,0x2482,utf8:E2-92-82:⒂
0233,0x2483,utf8:E2-92-83:⒃
0234,0x2484,utf8:E2-92-84:⒄
0235,0x2485,utf8:E2-92-85:⒅
0236,0x2486,utf8:E2-92-86:⒆
0237,0x2487,utf8:E2-92-87:⒇
0238,0x2488,utf8:E2-92-88:⒈
0239,0x2489,utf8:E2-92-89:⒉
0240,0x248A,utf8:E2-92-8A:⒊
0241,0x248B,utf8:E2-92-8B:⒋
0242,0x248C,utf8:E2-92-8C:⒌
0243,0x248D,utf8:E2-92-8D:⒍
0244,0x248E,utf8:E2-92-8E:⒎
0245,0x248F,utf8:E2-92-8F:⒏
0246,0x2490,utf8:E2-92-90:⒐
0247,0x2491,utf8:E2-92-91:⒑
